data,img_size,sexe,age,method_sex_age,seed,epochs,lr,height_rel_err,weight_rel_err
guinee,256,False,False,0,0,30,0.005,0.06686980469873803,0.2101041235333871
guinee,256,False,False,0,1,30,0.005,0.06322784019888905,0.21324072320960694
guinee,256,False,False,0,2,30,0.005,0.0677438430826718,0.21571851060316385
guinee,256,False,False,0,3,30,0.005,0.06364162611934569,0.1966199073978689
guinee,256,True,False,0,0,30,0.005,0.0638401489987582,0.20779566036660704
guinee,256,True,False,0,1,30,0.005,0.06690599950602047,0.19927284442756824
guinee,256,True,False,0,2,30,0.005,0.06633604049601162,0.2089009345498516
guinee,256,True,False,0,3,30,0.005,0.06341394417103592,0.19854733216426357
guinee,256,False,True,0,0,30,0.005,0.0682819625595288,0.20505410532263982
guinee,256,False,True,0,1,30,0.005,0.06893705817343647,0.22066489357268734
guinee,256,False,True,0,2,30,0.005,0.06566049811720932,0.20874894121062165
guinee,256,False,True,0,3,30,0.005,0.06505837127605968,0.20110598906405094
guinee,256,True,True,0,0,30,0.005,0.06595471922266545,0.20714714792439454
guinee,256,True,True,0,1,30,0.005,0.06952663749331144,0.21176570145254794
guinee,256,True,True,0,2,30,0.005,0.06564905679633828,0.21290896730678902
guinee,256,True,True,0,3,30,0.005,0.06256607040660374,0.18893740559512928
guinee,384,False,False,0,0,30,0.005,0.05705154434326327,0.19717434660021188
guinee,384,False,False,0,1,30,0.005,0.056779595593047405,0.20990030422876355
guinee,384,False,False,0,2,30,0.005,0.06192351199190893,0.21059767671578278
guinee,384,False,False,0,3,30,0.005,0.05662047778806008,0.19341853584005161
guinee,384,True,False,0,0,30,0.005,0.06362318561925258,0.20351274995417573
guinee,384,True,False,0,1,30,0.005,0.06238808595714412,0.20073114113729182
guinee,384,True,False,0,2,30,0.005,0.06617070252573688,0.21768880445236088
guinee,384,True,False,0,3,30,0.005,0.05644045672878191,0.18522109403469222
guinee,384,False,True,0,0,30,0.005,0.0572471819301582,0.2047799624181694
guinee,384,False,True,0,1,30,0.005,0.06214191000687178,0.20058677746577755
guinee,384,False,True,0,2,30,0.005,0.06320170331865688,0.211354760322153
guinee,384,False,True,0,3,30,0.005,0.05200721508506363,0.1953229449364586
guinee,384,True,True,0,0,30,0.005,0.05877559405862701,0.19289895250058786
guinee,384,True,True,0,1,30,0.005,0.05701984591263666,0.20201146474701773
guinee,384,True,True,0,2,30,0.005,0.06408356578772821,0.21071553314290875
guinee,384,True,True,0,3,30,0.005,0.05361022513361915,0.19341880862933283
cambodge,256,False,False,0,0,30,0.005,0.07822346664419663,0.1554918426161998
cambodge,256,False,False,0,1,30,0.005,0.07881499122058482,0.15003752436919357
cambodge,256,False,False,0,2,30,0.005,0.07739356646493241,0.1540154113228456
cambodge,256,False,False,0,3,30,0.005,0.07630789013035742,0.1500524793479947
cambodge,256,True,False,0,0,30,0.005,0.07889756121566116,0.15367853884795002
cambodge,256,True,False,0,1,30,0.005,0.07908126142922701,0.14572787527400416
