true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
50.0,3.7,44.74564,1.309066,0.1050872039794921,0.6461983629175134
48.0,2.5,51.34224,1.7769895,0.0696299870808919,0.2892042160034179
40.0,1.35,47.056446,1.508801,0.1764111518859863,0.1176303580955222
41.0,3.43,46.018967,1.5278213,0.1224138213366997,0.5545710488589095
40.0,2.6,43.75914,1.4687397,0.0939785003662109,0.4351000969226544
56.0,3.15,49.584988,1.4343085,0.114553792136056,0.5446639590793185
51.0,3.6,52.835346,1.9904842,0.0359871808220358,0.4470877117580837
47.0,2.3,53.155964,1.4690529,0.1309779552703208,0.3612813431283702
52.0,3.2,49.64121,1.5208442,0.0453613721407376,0.5247361809015274
50.0,2.78,51.83402,1.5938917,0.0366803741455078,0.4266576475376705
55.0,3.0,53.419342,1.689864,0.0287392356178977,0.4367119868596394
49.0,2.8,48.4335,1.8266368,0.0115612574986049,0.3476297174181256
50.0,2.78,46.869804,1.2126548,0.0626039123535156,0.5637932269693279
49.0,3.0,46.63476,1.7242913,0.0482701671366788,0.4252362251281738
52.0,3.5,44.217083,1.6658278,0.1496714812058668,0.5240492139543805
42.0,1.8,49.45241,1.5831679,0.1774383726574125,0.1204622719022963
43.0,1.58,40.02843,0.880042,0.0691062572390534,0.4430113819581044
52.0,3.25,52.64369,1.4903557,0.0123786192673903,0.5414290061363807
51.0,3.1,56.54624,1.9433311,0.1087498384363511,0.3731189927747173
50.0,3.0,45.952423,1.5873535,0.0809515380859375,0.4708821773529053
54.0,4.0,48.993046,1.6130885,0.0927213739465784,0.5967278778553009
49.0,3.0,45.34449,1.7220958,0.0746022438516422,0.4259680509567261
45.0,1.3,45.074654,0.52747333,0.0016589694552951,0.5942512842325064
50.0,3.5,55.43786,2.3374689,0.1087571716308593,0.3321517535618373
48.0,3.5,52.67753,1.7006975,0.0974485079447428,0.5140864167894635
51.0,3.7,53.155052,2.1040394,0.0422559251972273,0.4313406944274902
54.0,3.64,53.193806,1.7371366,0.0149295241744429,0.5227646696698535
53.0,3.39,50.300488,1.2554376,0.0509341977677255,0.629664421081543
49.0,2.8,46.859802,1.6803331,0.0436775051817602,0.3998810223170689
48.0,2.7,46.45602,1.5673712,0.0321662425994873,0.4194921299263283
50.0,3.2,50.355637,1.7937074,0.0071127319335937,0.4394664466381073
49.0,3.0,46.570194,1.668767,0.0495878725635762,0.4437443415323893
53.0,3.39,49.881393,1.2338674,0.0588416333468455,0.6360273136150169
49.0,3.1,49.60628,1.7714909,0.0123730873575015,0.4285513124158305
54.0,4.7,45.661404,1.5765154,0.1544184508147063,0.6645711837930882
53.0,3.3,49.31463,1.9197865,0.0695353094136939,0.4182465293190696
52.0,3.0,46.2182,1.1578248,0.1111884483924278,0.6140584150950114
51.0,3.54,49.075787,1.8117374,0.0377296746945848,0.4882097688771911
49.0,2.8,49.555473,1.1361296,0.011336190359933,0.5942394222531999
51.0,3.2,48.613636,1.8056394,0.0467914506500842,0.4357376918196678
39.0,0.99,47.79262,1.2259469,0.2254518362192007,0.2383302052815755
52.0,2.85,50.63032,1.2450144,0.026339971102201,0.563152831897401
50.0,3.1,49.858376,1.873266,0.0028324890136718,0.3957206510728405
47.0,2.6,44.367237,1.6270653,0.0560162321050116,0.374205653484051
50.0,3.3,49.939327,1.2221191,0.0012134552001953,0.6296608809268835
45.0,2.05,45.610355,1.7303632,0.0135634528266059,0.1559203659615864
52.0,3.5,50.456306,2.033756,0.0296864142784705,0.4189268520900181
51.0,4.0,50.657864,2.0837083,0.0067085565305223,0.4790729284286499
48.0,2.3,53.906914,2.076385,0.1230607032775878,0.0972239038218621
52.0,3.3,43.344707,1.0762966,0.1664479329035832,0.6738495248736757
50.0,2.58,48.518402,0.88295645,0.0296319580078125,0.6577688196832819
50.0,3.5,51.097652,1.5454525,0.0219530487060546,0.5584421498434884
50.0,2.7,45.888474,1.6086214,0.0822305297851562,0.4042143115290889
48.0,2.9,49.5576,1.2732273,0.0324499607086181,0.5609560917163717
50.0,3.3,49.87106,2.4591196,0.0025788116455078,0.2548122550501968
50.0,3.0,49.130047,1.632427,0.0173990631103515,0.4558576742808024
47.0,1.8,50.494205,1.7312105,0.0743447973373088,0.038216405444675
45.0,2.0,43.15079,1.0100676,0.041093529595269,0.4949662089347839
51.0,2.61,49.451927,1.5638995,0.0303543689204197,0.4008047827358903
55.0,3.3,50.118942,1.41957,0.088746504350142,0.5698272820675011
51.0,5.5,48.386745,1.3338962,0.0512402852376302,0.757473425431685
40.0,1.3,51.135727,1.5430105,0.2783931732177734,0.1869311332702636
51.0,3.0,52.726826,1.8891191,0.0338593277276731,0.3702936172485351
52.0,3.0,47.85139,2.0288644,0.0797809454110952,0.3237118721008301
48.0,3.12,48.966396,1.2977403,0.0201332569122314,0.5840575832587023
48.0,2.9,56.023968,1.4162759,0.167165994644165,0.5116290141796244
50.0,2.8,42.694775,1.3707216,0.146104507446289,0.5104565790721348
53.0,3.5,45.088726,1.3098276,0.1492693199301665,0.6257635525294712
53.0,5.0,54.619526,1.8670691,0.0305570926306382,0.6265861749649048
48.0,2.3,45.601357,1.7532032,0.0499717394510904,0.2377377592999001
51.0,4.0,49.11205,1.6551378,0.0370186450434666,0.5862155556678772
49.0,3.2,45.889553,1.1600688,0.0634785087741151,0.6374785155057907
48.0,2.4,45.081516,1.3350651,0.0608017444610595,0.4437228639920552
49.0,2.85,51.2944,1.5895541,0.0468244747239716,0.4422617293240731
