data,img_size,sexe,age,method_sex_age,seed,epochs,lr,height_rel_err,weight_rel_err
guinee,384,True,True,4,0,20,0.005,0.06505694942474259,0.19499160220822281
guinee,384,True,True,4,0,30,0.005,0.049839091184869885,0.18673593830635854
