data,img_size,sexe,age,seed,epochs,lr,height_rel_err,weight_rel_err
guinee_cambodge,256,False,False,0,30,0.005,0.07046027534066336,0.1470281042148552
guinee_cambodge,256,False,False,1,30,0.005,0.07118685637265344,0.14201441730123718
guinee_cambodge,256,False,False,2,30,0.005,0.07077776122954003,0.1423513719584097
guinee_cambodge,256,False,False,3,30,0.005,0.0671486336887559,0.14018970640355646
guinee_cambodge,256,True,False,0,30,0.005,0.06848050653127595,0.14403028775135943
guinee_cambodge,256,True,False,1,30,0.005,0.0688102213107973,0.13965695383371476
guinee_cambodge,256,True,False,2,30,0.005,0.07009766112750226,0.14377319169281758
guinee_cambodge,256,True,False,3,30,0.005,0.0654148888120685,0.13774997821595777
guinee_cambodge,256,False,True,0,30,0.005,0.0688120923025337,0.14717716957980567
guinee_cambodge,256,False,True,1,30,0.005,0.07034204256072568,0.14215654807858039
guinee_cambodge,256,False,True,2,30,0.005,0.07257133420926253,0.14356713727642656
guinee_cambodge,256,False,True,3,30,0.005,0.0673801164351707,0.14086982884294455
guinee_cambodge,256,True,True,0,30,0.005,0.06749100916897655,0.1417629356956574
guinee_cambodge,256,True,True,1,30,0.005,0.06895692636317013,0.13844054114796844
guinee_cambodge,256,True,True,2,30,0.005,0.07048028225162054,0.14405059526280237
guinee_cambodge,256,True,True,3,30,0.005,0.0662706285135339,0.13439096400127576
guinee_cambodge,384,False,False,0,30,0.005,0.06298629584517045,0.13802131271815543
guinee_cambodge,384,False,False,1,30,0.005,0.06317445454663566,0.13121865967683174
guinee_cambodge,384,False,False,2,30,0.005,0.06175349832619655,0.13111278999531098
guinee_cambodge,384,False,False,3,30,0.005,0.06107357201817002,0.12953582014623619
guinee_cambodge,384,True,False,0,30,0.005,0.06132319933118387,0.13287369117635886
guinee_cambodge,384,True,False,1,30,0.005,0.06258287681695786,0.1274865466063608
guinee_cambodge,384,True,False,2,30,0.005,0.06071114918218183,0.13187650209843546
guinee_cambodge,384,True,False,3,30,0.005,0.06143663962114558,0.12808560960867632
guinee_cambodge,384,False,True,0,30,0.005,0.06296012280936049,0.13293082547248
guinee_cambodge,384,False,True,1,30,0.005,0.06235160501420996,0.12832943489784035
guinee_cambodge,384,False,True,2,30,0.005,0.06119846927901441,0.13049316159962887
guinee_cambodge,384,False,True,3,30,0.005,0.06204875997901756,0.12977941089572384
guinee_cambodge,384,True,True,0,30,0.005,0.061036817201667225,0.13551136214062898
guinee_cambodge,384,True,True,1,30,0.005,0.0628575365311437,0.12906702748272283
guinee_cambodge,384,True,True,2,30,0.005,0.06103421372906252,0.1278507396486415
guinee_cambodge,384,True,True,3,30,0.005,0.06232116625088359,0.13491677618476294
guinee,256,False,False,0,30,0.005,0.0681565568902162,0.20122886291742814
guinee,256,False,False,1,30,0.005,0.07130537704395315,0.19969504916872047
guinee,256,False,False,2,30,0.005,0.07303031232817583,0.19729684775882256
guinee,256,False,False,3,30,0.005,0.0676950250511032,0.18651667454511334
guinee,256,True,False,0,30,0.005,0.06967582246090998,0.2059463977915143
guinee,256,True,False,1,30,0.005,0.07191912297308686,0.20280111070373036
guinee,256,True,False,2,30,0.005,0.07393167195995021,0.19209713873452453
guinee,256,True,False,3,30,0.005,0.06905762333265165,0.18947081149128872
guinee,256,False,True,0,30,0.005,0.06898633129497779,0.19288306832535948
guinee,256,False,True,1,30,0.005,0.07176395177302046,0.20408586758104422
guinee,256,False,True,2,30,0.005,0.07239485185475153,0.2035487298590425
guinee,256,False,True,3,30,0.005,0.06892841627183972,0.18854555130995548
guinee,256,True,True,0,30,0.005,0.06722931983159063,0.20378299364217922
guinee,256,True,True,1,30,0.005,0.0722628353001827,0.20281134421214597
guinee,256,True,True,2,30,0.005,0.07108242699196338,0.19341600667797212
guinee,256,True,True,3,30,0.005,0.06942073365284239,0.19219335334848545
guinee,384,False,False,0,30,0.005,0.06376411997209479,0.2026409319142341
guinee,384,False,False,1,30,0.005,0.06287867483435447,0.1918906315199767
guinee,384,False,False,2,30,0.005,0.06159233948654936,0.18805805285770802
guinee,384,False,False,3,30,0.005,0.052968882252313707,0.1862757366306871
guinee,384,True,False,0,30,0.005,0.06494035574341302,0.1967713256699862
guinee,384,True,False,1,30,0.005,0.06427637839685227,0.19681772419657345
guinee,384,True,False,2,30,0.005,0.05894647744598009,0.1958859663476797
