true_height,true_weight,predicted_height,predicted_weight,height_relative_error,weight_relative_error
84.65,14.4,67.47952,7.4948463,0.2028408422318001,0.4795245594448513
78.3,8.7,85.668976,11.081113,0.0941120795667704,0.2736911335210691
75.25,8.6,67.62395,7.922969,0.1013428951022632,0.0787245506464048
60.9,5.5,60.024605,6.878125,0.014374305462015,0.2505682164972478
77.45,8.6,79.34337,9.362184,0.0244463335090178,0.0886259966118391
99.3,12.5,90.47022,13.132976,0.088920216786057,0.0506380462646484
97.55,14.5,93.95988,13.248973,0.0368029009312131,0.0862777315337082
67.05,6.1,92.82243,12.168201,0.3843763381309424,0.9947871223824925
75.05,8.2,81.66183,9.366716,0.0880989618574596,0.1422824859619141
99.45,16.7,100.32171,14.08798,0.0087652959195496,0.1564083670427699
85.05,10.1,107.29849,15.124586,0.2615930914948927,0.497483772806602
90.6,12.0,87.061386,11.848483,0.0390575484724233,0.0126264095306396
87.6,12.0,94.682365,11.963011,0.080848920290873,0.0030824343363444
92.35,13.7,89.820656,12.42008,0.0273886754439208,0.0934248040192318
70.5,8.5,65.12407,7.582121,0.0762543373919548,0.1079857770134421
65.45,7.7,65.30777,7.9191723,0.0021731126754679,0.0284639333749746
82.55,10.8,64.28338,7.430402,0.2212794839361087,0.3119998331423159
83.3,9.8,100.664375,13.768638,0.208455886016516,0.4049630262413802
78.0,8.7,74.473946,8.81847,0.045205825414413,0.0136172415196211
99.05,15.0,94.273575,13.128925,0.0482223641685859,0.1247383117675781
103.2,17.4,87.08019,11.639989,0.1561996844387794,0.331035120733853
91.15,11.6,91.61295,13.2965765,0.0050790256284712,0.1462565948223246
78.0,9.2,88.3592,11.508177,0.1328102503067408,0.25088878299879
74.05,8.3,64.90663,7.079318,0.1234756047302287,0.1470701148711055
94.45,14.9,86.438286,11.7740345,0.084824925064725,0.2097963422736865
89.75,12.1,85.707794,11.504592,0.0450385048528899,0.0492072775344217
103.5,15.8,92.97221,12.906864,0.1017177415930706,0.1831098628949515
83.95,11.7,96.6122,13.649393,0.1508302308037708,0.1666147933047042
97.05,12.0,89.290596,12.06718,0.0799526428820115,0.0055983066558837
60.2,6.5,73.447,8.2044735,0.2200498105679635,0.2622266916128305
75.05,7.7,63.719696,7.6355577,0.1509700726859177,0.0083691361662629
80.55,9.5,95.01787,12.469866,0.1796135076597416,0.3126174525210732
101.2,16.9,79.340866,10.24202,0.2159993469479527,0.3939633341230584
97.95,13.4,91.62346,11.958808,0.0645894960458939,0.1075516458767563
79.8,8.7,75.80398,8.687121,0.0500754640813459,0.0014802998509899
76.95,9.2,67.30302,7.958639,0.1253669049694911,0.1349305277285367
91.55,14.2,97.666664,13.638053,0.0668122787933933,0.0395737365937568
